"id";"tag";"context_set";"created_at";"updated_at"
"27";"Dealing with Morning Sickness";"Tips for managing morning sickness during pregnancy";"2024-06-21 07:41:02";"2024-06-21 07:41:02"
"28";"Exercise During Pregnancy";"Importance of walking and exercise during pregnancy";"2024-06-21 07:53:03";"2024-06-21 07:53:03"
"29";"Managing Stress During Pregnancy";"Techniques for coping with stress during pregnancy";"2024-06-21 07:55:48";"2024-06-21 07:55:48"
"30";"Fashion Choices During Pregnancy";"Recommendations for clothing and footwear during pregnancy";"2024-06-21 07:58:45";"2024-06-21 07:58:45"
"31";"Caffeine Consumption During Pregnancy";"Advice on consuming coffee, tea, and caffeinated beverages during pregnancy";"2024-06-21 08:01:56";"2024-06-21 08:01:56"
"32";"Alcohol Consumption During Pregnancy";"Advice on consuming alcohol during pregnancy";"2024-06-21 08:05:01";"2024-06-21 08:05:01"
"33";"Medication Use During Pregnancy";"Recommendations regarding medication and medicine usage during pregnancy";"2024-06-21 08:07:24";"2024-06-21 08:07:24"
"34";"Recommended Foods During Pregnancy";"Advice on nutrition and dietary choices during pregnancy";"2024-06-21 08:09:40";"2024-06-21 08:09:40"
"35";"Herbs to Avoid During Pregnancy";"Advice on herbs and herbal supplements to avoid during pregnancy";"2024-06-21 08:11:58";"2024-06-21 08:11:58"
"36";"Prenatal Care Definition";"Definition and explanation of prenatal care";"2024-06-21 08:14:43";"2024-06-21 08:14:43"
"37";"Antenatal Care Definition";"Definition and explanation of antenatal care";"2024-06-21 08:17:14";"2024-06-21 08:17:14"
"38";"Timing of Prenatal Care";"Advice on when to initiate prenatal care";"2024-06-21 08:19:25";"2024-06-21 08:19:25"
"39";"Content of Prenatal Care Checks";"Description of what happens during prenatal care appointments";"2024-06-21 08:23:30";"2024-06-21 08:23:30"
"40";"Sex During Pregnancy";"Advice regarding sexual activity during pregnancy";"2024-06-21 08:27:16";"2024-06-21 08:27:16"
"41";"Headaches During Pregnancy";"Advice on managing headaches during pregnancy, particularly around the forehead";"2024-06-21 08:31:21";"2024-06-21 08:31:21"
"42";"Early Contractions During Pregnancy";"Explanation regarding early contractions during pregnancy";"2024-06-21 08:33:43";"2024-06-21 08:33:43"
"43";"Recurrent Miscarriages";"Guidance for dealing with recurrent miscarriages after the first child";"2024-06-21 08:36:26";"2024-06-21 08:36:26"
"44";"Tetanus Toxoid (TT) Injections During Pregnancy";"Information about the schedule and number of TT injections during pregnancy";"2024-06-21 08:39:13";"2024-06-21 08:39:13"
"45";"Tetanus Toxoid (TT) Injections in Subsequent Pregn";"Information about the need for TT injections in subsequent pregnancies after receiving the full course in a previous pregnancy";"2024-06-21 08:41:18";"2024-06-21 08:41:18"
"46";"Breast Discharge during Pregnancy";"Explanation regarding milk-like discharge from breasts during pregnancy";"2024-06-21 08:43:23";"2024-06-21 08:43:23"
"47";"Starting Antenatal Care";"Guidance on when to initiate antenatal care during pregnancy";"2024-06-21 08:45:40";"2024-06-21 08:45:40"
"48";"Postpartum Birth Control";"Information about when birth control methods can be initiated after childbirth";"2024-06-21 08:48:06";"2024-06-21 08:48:06"
"49";"Conceiving After C-Section";"Information about the recommended time frame to conceive again after a C-section birth";"2024-06-21 08:49:58";"2024-06-21 08:49:58"
"50";"Missed Immunization Appointment";"Advice on what to do if an immunization appointment is missed";"2024-06-21 08:51:59";"2024-06-21 08:51:59"
"51";"Missed Contraceptive Pill";"Advice on what to do if a contraceptive pill is missed";"2024-06-21 08:54:11";"2024-06-21 08:54:11"
"52";"Bleeding After Implant";"Advice on controlling bleeding after having an implant";"2024-06-21 08:56:03";"2024-06-21 08:56:03"
"53";"Sexual Intercourse After Vaginal Stitch";"Advice on when it's safe to resume sexual intercourse after receiving vaginal stitches post-delivery.";"2024-06-21 08:58:29";"2024-06-21 08:58:29"
"54";"Recover Tight Vagina After Childbirth";"Advice on methods to recover vaginal tightness after childbirth.";"2024-06-21 09:01:05";"2024-06-21 09:01:05"
"55";"Movement After C-Section";"Advice on when it's safe to start moving after having a C-section.";"2024-06-21 09:03:14";"2024-06-21 09:03:14"
"56";"Washing C-Section Wound";"Clarification on whether washing a C-section wound with salt water is recommended.";"2024-06-21 09:05:09";"2024-06-21 09:05:09"
"57";"Nighttime Crying";"Dealing with a baby who cries excessively at night, possibly due to colic pain.";"2024-06-21 09:08:37";"2024-06-21 09:08:37"
"58";"Vaginal Delivery After C-section (VBAC)";"Considering the possibility of having a vaginal delivery after a previous C-section.";"2024-06-21 09:11:08";"2024-06-21 09:11:08"
"59";"Walking During Labor";"Discussing the benefits of walking during the labor process.";"2024-06-21 09:13:02";"2024-06-21 09:13:02"
"60";"Drinking Tea During Labor";"Explaining the benefits of drinking tea during labor.";"2024-06-21 09:15:06";"2024-06-21 09:15:06"
"61";"Antenatal Visits Frequency";"Clarifying the recommended number of antenatal visits during pregnancy.";"2024-06-21 09:17:21";"2024-06-21 09:17:21"
"62";"IUD and UTI Relationship";"Clarifying the relationship between IUDs and UTIs.";"2024-06-21 09:19:38";"2024-06-21 09:19:38"
"63";"Implant Misconceptions";"Correcting misconceptions about contraceptive implants.";"2024-06-21 09:22:05";"2024-06-21 09:22:05"
"64";"HIV and Pregnancy";"Addressing concerns about HIV transmission to unborn babies during pregnancy.";"2024-06-21 09:24:09";"2024-06-21 09:24:09"
"65";"Ultrasound During Pregnancy";"Discussing the timing and importance of the first ultrasound scan during pregnancy.";"2024-06-21 09:26:04";"2024-06-21 09:26:04"
"66";"Safety of Ultrasound During Pregnancy";"ddressing concerns about the safety of ultrasound scans for unborn babies during pregnancy.";"2024-06-21 09:28:10";"2024-06-21 09:28:10"
"67";"Risks of X-ray Exposure During Pregnancy";"Addressing concerns about the potential risks of X-ray exposure to an unborn baby during pregnancy.";"2024-06-21 09:30:20";"2024-06-21 09:30:20"
"68";"Bleeding During Pregnancy";"Addressing concerns about bleeding during pregnancy and its implications.";"2024-06-21 09:33:34";"2024-06-21 09:33:34"
"69";"installation";"Providing information about the number of ultrasound scans recommended during pregnancy.";"2024-06-21 09:36:07";"2024-06-22 05:27:04"
"70";"Acupressure";"Acupressure definition";"2024-11-28 15:15:50";"2024-11-28 15:15:50"
"71";"Airway";"Airway definition";"2024-11-28 15:16:51";"2024-11-28 15:16:51"
"72";"Allergic disorder";"Allergic disorder definition";"2024-11-28 15:18:02";"2024-11-28 15:18:02"
"73";"Anemia";"Anemia defintion";"2024-11-28 15:19:00";"2024-11-28 15:19:00"
"74";"Antibodies";"Antibodies definition";"2024-11-28 15:19:50";"2024-11-28 15:19:50"
"75";"Areola";"Areola  definition";"2024-11-28 15:20:45";"2024-11-28 15:20:45"
"76";"Birth defect";"Birth defect  definition";"2024-11-28 15:21:39";"2024-11-28 15:21:39"
"77";"Contagious disease";"what is a  Contagious disease";"2024-11-28 15:22:34";"2024-11-28 15:22:34"
"78";"Chromosomal abnormalities";"Chromosomal abnormalities definition";"2024-11-28 15:23:38";"2024-11-28 15:23:38"
"79";"Diaper rash";"Diaper rash definition";"2024-11-28 15:24:34";"2024-11-28 15:24:34"
"80";"Ectopic or extra-uterine pregnancy";"Ectopic or extra-uterine pregnancy definition";"2024-11-28 15:25:35";"2024-11-28 15:25:35"
"81";"Egg";"Egg definition";"2024-11-28 15:26:43";"2024-11-28 15:27:09"
"82";"Embryo";"Embryo definition";"2024-11-28 15:28:13";"2024-11-28 15:28:13"
"83";"Esophagus";"Esophagus definition";"2024-11-28 15:29:20";"2024-11-28 15:29:20"
"84";"Express";"Express definition";"2024-11-28 15:30:26";"2024-11-28 15:30:26"
"85";"Fertilization";"what is  Fertilization";"2024-11-28 15:31:22";"2024-11-28 15:31:22"
"86";"Fetus";"Fetus definition";"2024-11-28 15:32:18";"2024-11-28 15:32:18"
"87";"Genetic abnormalities";"Genetic abnormalities definition";"2024-11-28 15:33:39";"2024-11-28 15:33:39"
"88";"Hemorrhage";"Hemorrhage definition";"2024-11-28 15:35:01";"2024-11-28 15:35:01"
"89";"Immune system";"Immune system definition";"2024-11-28 15:36:40";"2024-11-28 15:36:40"
"90";"Inverted nipple";"Inverted nipple definition";"2024-11-28 15:38:05";"2024-11-28 15:38:05"
"91";"Labour";"Labour definition";"2024-11-28 15:39:23";"2024-11-28 15:39:23"
"92";"Mastitis";"Mastitis definition";"2024-11-28 15:40:30";"2024-11-28 15:40:30"
"93";"Miscarriage";"Miscarriage  definition";"2024-11-28 15:41:27";"2024-11-28 15:41:27"
"94";"Nutrients";"Nutrients definition";"2024-11-28 15:42:39";"2024-11-28 15:42:39"
"95";"Neural tube";"Neural tube definition";"2024-11-28 15:43:38";"2024-11-28 15:43:38"
"96";"Overproduction of milk";"Overproduction of milk definition";"2024-11-28 15:44:34";"2024-11-28 15:44:34"
"97";"Oxytocin";"Oxytocin definition";"2024-11-28 15:45:25";"2024-11-28 15:45:25"
"98";"Perineum";"Perineum definition";"2024-11-28 15:46:38";"2024-11-28 15:46:38"
"99";"Pupil";"Pupil  definition";"2024-11-28 15:47:40";"2024-11-28 15:47:40"
"100";"Rhesus factor (Rh factor)";"Rhesus factor (Rh factor)  definition";"2024-11-28 15:48:33";"2024-11-28 15:48:33"
"101";"Sexually transmitted infection (STI)";"Sexually transmitted infection (STI) defintion";"2024-11-28 15:49:36";"2024-11-28 15:49:36"
"102";"Sperm";"Sperm definition";"2024-11-28 15:50:58";"2024-11-28 15:50:58"
"103";"Spina bifida";"Spina bifida  definition";"2024-11-28 15:51:46";"2024-11-28 15:51:46"
"104";"Sterile";"Sterile  definition";"2024-11-28 15:52:33";"2024-11-28 15:52:33"
"105";"Sodium";"Sodium   definition";"2024-11-28 15:53:21";"2024-11-28 15:53:21"
"106";"Sudden infant death syndrome";"Sudden infant death syndrome definition";"2024-11-28 15:54:20";"2024-11-28 15:54:20"
"107";"Thrombophlebitis";"Thrombophlebitis definition";"2024-11-28 15:55:12";"2024-11-28 15:55:12"
"108";"Trisomy";"Trisomy  definition";"2024-11-28 15:56:29";"2024-11-28 15:56:29"
"109";"Ultrasound";"Ultrasound  definition";"2024-11-28 15:57:21";"2024-11-28 15:57:21"
"110";"Uterine rupture";"Uterine rupture definition";"2024-11-28 15:58:38";"2024-11-28 15:58:38"
"111";"Urinary catheter";"Urinary catheter  definition";"2024-11-28 15:59:30";"2024-11-28 15:59:30"
"112";"Vernix caseosa";"Vernix caseosa definition";"2024-11-28 16:00:53";"2024-11-28 16:00:53"
"113";"Weaning";"Weaning definition";"2024-11-28 16:01:57";"2024-11-28 16:01:57"
"114";"pregnancy experience";"The emotional and physical journey of pregnancy.";"2024-11-28 16:08:42";"2024-11-28 16:09:17"
"115";"menstrual cycle";"Understanding the timeline of menstruation in a woman's life.";"2024-11-28 16:11:42";"2024-11-28 16:11:42"
"116";"menstrual cycle length";"Calculating the duration of a menstrual cycle.";"2024-11-28 16:13:06";"2024-11-28 16:13:06"
"117";"menstrual_cycle_process";"Hormonal and physiological changes during the menstrual cycle.";"2024-11-28 16:14:42";"2024-11-28 16:14:42"
"118";"ovulation_process";"The release of eggs and its role in reproduction.";"2024-11-28 16:16:54";"2024-11-28 16:16:54"
"119";"ovulation_timing";"Estimating ovulation based on the menstrual cycle.";"2024-11-28 16:18:27";"2024-11-28 16:18:27"
"120";"ovulation_period";"Understanding the fertile period and chances of fertilization.";"2024-11-28 16:21:14";"2024-11-28 16:21:14"
"121";"sperm_production";"The continuous process of sperm production in men.";"2024-11-28 16:26:42";"2024-11-28 16:26:42"
"122";"sperm_production";"The continuous process of sperm production in men.";"2024-11-28 16:26:50";"2024-11-28 16:26:50"
"123";"sperm_development";"The process of sperm production and maturation.";"2024-11-28 16:30:32";"2024-11-28 16:30:32"
"124";"semen_composition";"The mixture of sperm and fluids during ejaculation.";"2024-11-28 16:31:53";"2024-11-28 16:31:53"
"125";"sperm_lifetime";"The quantity of sperm in semen and their lifespan.";"2024-11-28 16:33:38";"2024-11-28 16:33:38"
"126";"pelvis_bone";"The role of the pelvis bone in supporting abdominal organs.";"2024-11-28 16:35:05";"2024-11-28 16:35:05"
"128";"ovary_function";"The role of ovaries in egg production and hormone secretion.";"2024-11-28 16:36:48";"2024-11-28 16:36:48"
"129";"uterus_function";"The role of the uterus in pregnancy and embryo development.";"2024-11-28 16:39:33";"2024-11-28 16:39:33"
"130";"fallopian_tube";"The role of the Fallopian tubes in egg transport and fertilization.";"2024-11-28 16:42:48";"2024-11-28 16:42:48"
"131";"cervix_function";"The role of the cervix in menstruation and childbirth.";"2024-11-28 16:44:35";"2024-11-28 16:44:35"
"132";"vagina_function";"The structure and flexibility of the vagina.";"2024-11-28 16:46:19";"2024-11-28 16:46:19"
"133";"bladder_function";"The role of the bladder in urine storage.";"2024-11-28 16:47:53";"2024-11-28 16:47:53"
"134";"perineum_function";"The structure and role of the perineum in supporting pelvic organs.";"2024-11-28 16:49:24";"2024-11-28 16:49:24"
"135";"anus_function";"The role of the anus in waste elimination.";"2024-11-28 16:50:54";"2024-11-28 16:50:54"
"136";"urethra_function";"The role of the urethra in urine elimination.";"2024-11-28 16:52:36";"2024-11-28 16:52:36"
"137";"clitoris_function";"The role of the clitoris in sexual pleasure.";"2024-11-28 16:54:09";"2024-11-28 16:54:09"
"138";"vulva_function";"The external genitalia of females.";"2024-11-28 16:57:37";"2024-11-28 16:57:37"
"139";"bladder_male_function";"The role of the bladder in male anatomy.";"2024-11-28 16:59:17";"2024-11-28 16:59:17"
"140";"vas_deferens_function";"The role of the vas deferens in sperm transport.";"2024-11-28 17:01:28";"2024-11-28 17:01:28"
"141";"urethra_male_function";"The role of the urethra in urine and semen transport in males.";"2024-11-28 17:03:00";"2024-11-28 17:03:00"
"142";"penis_function";"The role of the penis in male reproduction and sexual function.";"2024-11-28 17:04:23";"2024-11-28 17:04:23"
"143";"prostate_function";"The role of the prostate in semen production.";"2024-11-28 17:08:08";"2024-11-28 17:08:08"
"144";"scrotum_function";"The role of the scrotum in protecting the testicles.";"2024-11-28 19:31:54";"2024-11-28 19:31:54"
"145";"testicle_function";"The role of the testicles in sperm production.";"2024-11-28 19:32:58";"2024-11-28 19:32:58"
"146";"seminal_vesicle_function";"The role of the seminal vesicles in sperm storage.";"2024-11-28 19:34:43";"2024-11-28 19:34:43"
"147";"anus_function";"The role of the anus in waste elimination.";"2024-11-28 19:35:27";"2024-11-28 19:35:27"
"148";"fertilization_process";"The process of fertilization when sperm and egg meet.";"2024-11-28 19:37:57";"2024-11-28 19:37:57"
"149";"implantation_process";"The development of a fertilized egg and implantation in the uterus.";"2024-11-28 19:40:09";"2024-11-28 19:40:09"
"150";"pregnancy_test";"The role of a pregnancy test in confirming fertilization.";"2024-11-28 19:40:54";"2024-11-28 19:40:54"
"151";"miscarriage";"The occurrence of miscarriage in early pregnancy.";"2024-11-28 19:41:34";"2024-11-28 19:41:34"
"152";"pregnancy_length_calculation";"How the length of pregnancy is calculated.";"2024-11-28 19:42:39";"2024-11-28 19:42:39"
"153";"pregnancy_weeks";"How pregnancy duration is measured in weeks.";"2024-11-28 19:43:37";"2024-11-28 19:43:37"
"154";"term_pregnancy";"When a pregnancy is considered full-term.";"2024-11-28 19:44:16";"2024-11-28 19:44:16"
"155";"pregnancy_trimesters";"The division of pregnancy into trimesters.";"2024-11-28 19:44:50";"2024-11-28 19:44:50"
"156";"due_date_estimation";"How to estimate a pregnancy due date.";"2024-11-28 19:45:54";"2024-11-28 19:45:54"
"157";"ultrasound_due_date";"The role of ultrasound in determining the due date.";"2024-11-28 19:46:35";"2024-11-28 19:46:35"
"158";"fetal_development_stages";"The stages of fetal development during pregnancy.";"2024-11-28 19:47:53";"2024-11-28 19:47:53"
"159";"first_trimester";"The development of the fetus in the first trimester.";"2024-11-28 19:50:03";"2024-11-28 19:50:03"
"160";"first_trimester_ending";"Development of the fetus between 10 and 14 weeks.";"2024-11-28 19:52:51";"2024-11-28 19:52:51"
"161";"second_trimester";"Development of the fetus from 15 to 28 weeks.";"2024-11-28 19:54:04";"2024-11-28 19:54:04"
"162";"third_trimester";"Development of the fetus from 29 weeks to birth.";"2024-11-28 19:54:46";"2024-11-28 19:54:46"
"163";"amniotic_fluid";"The role of amniotic fluid during pregnancy.";"2024-11-28 19:57:52";"2024-11-28 19:57:52"
"164";"amniotic_sac";"Description of the amniotic sac and its role during labor.";"2024-11-28 19:58:32";"2024-11-28 19:58:32"
"165";"placenta, umbilical_cord";"Function and importance of the placenta and umbilical cord during pregnancy.";"2024-11-28 20:00:06";"2024-11-28 20:00:06"
"166";"physical_changes, pregnancy";"Physical changes during pregnancy.";"2024-11-28 20:01:26";"2024-11-28 20:01:26"
"167";"heart_blood_vessels_lungs, pregnancy";"Changes in the cardiovascular and respiratory system during pregnancy.";"2024-11-28 20:02:02";"2024-11-28 20:02:02"
"168";"hair, pregnancy";"Changes in hair growth during pregnancy.";"2024-11-28 20:02:40";"2024-11-28 20:02:40"
"169";"skin, pregnancy";"Skin changes during pregnancy.";"2024-11-28 20:03:11";"2024-11-28 20:03:11"
"170";"hyperpigmentation, pregnancy";"Hyperpigmentation and pregnancy mask during pregnancy.";"2024-11-28 20:03:51";"2024-11-28 20:03:51"
"171";"stretch marks, pregnancy";"Stretch marks during pregnancy and their treatment.";"2024-11-28 20:04:38";"2024-11-28 20:04:38"
"172";"pregnancy skin changes, acne, skin tags, angiomas";"Other skin changes during pregnancy.";"2024-11-28 20:05:16";"2024-11-28 20:05:16"
"173";"pregnancy, bladder, kidneys, frequent urination";"Changes in bladder and kidney function during pregnancy.";"2024-11-28 20:07:35";"2024-11-28 20:07:35"
"174";"pregnancy, stomach, intestines, digestion, heartburn, constipation";"How pregnancy affects digestion and causes heartburn and constipation.";"2024-11-28 20:09:04";"2024-11-28 20:09:04"
"175";"pregnancy, breasts, colostrum, breastfeeding, hormonal changes";"Changes in the breasts during pregnancy in preparation for breastfeeding.";"2024-11-28 20:09:45";"2024-11-28 20:09:45"
"176";"pregnancy, uterus, posture changes, body adjustments";"Changes in the uterus during pregnancy and their impact on posture.";"2024-11-28 20:10:39";"2024-11-28 20:10:39"
"177";"pregnancy, vaginal discharge, hormonal changes";"Increased vaginal discharge during pregnancy";"2024-11-28 20:12:07";"2024-11-28 20:12:07"
"178";"pregnancy, ligaments, joints, hormonal changes";"Effects of pregnancy on ligaments and joints";"2024-11-28 20:12:46";"2024-11-28 20:12:46"
"179";"pregnancy, fat reserves, energy storage, breastfeeding";"Fat reserves during pregnancy";"2024-11-28 20:13:30";"2024-11-28 20:13:30"
"180";"pregnancy, weight gain, baby growth, maternal changes";"Reasons for weight gain during pregnancy";"2024-11-28 20:14:13";"2024-11-28 20:14:13"
"181";"pregnancy, healthy weight gain, diet, physical activity";"Importance of healthy weight gain and lifestyle during pregnancy";"2024-11-28 20:15:15";"2024-11-28 20:15:15"
"182";"pregnancy weight, prenatal care, weight gain, multiple pregnancy";"Monitoring weight gain during pregnancy";"2024-11-28 20:16:33";"2024-11-28 20:16:33"
"183";"Living with the Changes";"Pregnancy can bring about various physical transformations, and each woman experiences these changes differently. These transformations may affect a woman's self-image and comfort with her body.";"2024-11-28 20:19:09";"2024-11-28 20:19:09"
"184";"Emotional Changes";"Pregnancy not only brings physical changes but also triggers emotional, psychological, and social transformations. The anticipation of motherhood can cause stress and raise numerous questions for some women.";"2024-11-28 20:20:29";"2024-11-28 20:20:29"
"185";"Emotional Changes";"Pregnancy can cause women to experience a range of conflicting emotions, such as joy, worry, denial, excitement, and even sadness.";"2024-11-28 20:21:02";"2024-11-28 20:21:02"
"186";"Emotional Support";"Discussing your emotions with loved ones or other pregnant women can provide valuable support and help normalize the experience.";"2024-11-28 20:21:47";"2024-11-28 20:21:47"
"187";"Emotional Well-being & Support";"Pregnancy emotions, self-care, seeking support, setting boundaries, depression risk.";"2024-11-28 20:27:35";"2024-11-28 20:27:35"
"188";"Future Father/Partner's Experience";"Expectant fathers, involvement, prenatal support, emotional connection, role adaptation.";"2024-11-28 20:28:57";"2024-11-28 20:28:57"
"189";"Couple's Relationship During Pregnancy";"Relationship adjustments, communication, shared concerns, emotional support, partnership in parenting.";"2024-11-28 20:29:42";"2024-11-28 20:29:42"
"190";"Family Adjustments During Pregnancy";"Older children's feelings, sibling jealousy, emotional support, involving children in preparations, family bonding.";"2024-11-28 20:31:00";"2024-11-28 20:31:00"
"191";"Sexuality During Pregnancy";"Changes in sexual desire, intimacy, discomfort, personal limits, and evolving perceptions as parents.";"2024-11-28 20:32:21";"2024-11-28 20:32:21"
"192";"Sexual Activity During Pregnancy";"Medical advice against intercourse due to complications like bleeding, abdominal pain, placenta issues, or risk of premature labor.";"2024-11-28 20:33:14";"2024-11-28 20:33:14"
"193";"STI Protection During Pregnancy";"Importance of using condoms during sexual activity to prevent sexually transmitted infections (STIs) and protect both mother and baby.";"2024-11-28 20:33:50";"2024-11-28 20:33:50"
"194";"Personal Care during Pregnancy";"Safe use of cosmetics, creams, and makeup during pregnancy.";"2024-11-28 20:34:57";"2024-11-28 20:34:57"
"195";"Hair Products and Treatments during Pregnancy";"Safety of hair dyes, shampoos, highlights, and perms during pregnancy.";"2024-11-28 20:36:05";"2024-11-28 20:36:05"
"196";"Sunscreen during Pregnancy";"Importance of using sunscreen to protect against sun-related skin changes during pregnancy.";"2024-11-28 20:37:26";"2024-11-28 20:37:26"
"197";"Insect Repellent during Pregnancy";"Safe use of insect repellent during pregnancy, including recommended ingredients and concentrations.";"2024-11-28 20:38:20";"2024-11-28 20:38:20"
"198";"Precautions for Insect Repellent Use during Pregnancy";"Safety guidelines for applying insect repellents during pregnancy.";"2024-11-28 20:39:07";"2024-11-28 20:39:07"
"199";"Limiting Exposure to Insect Repellents";"Alternative methods to reduce exposure to insect repellents during pregnancy.";"2024-11-28 20:39:42";"2024-11-28 20:39:42"
"200";"Use of Citronella and Lavender Oil";"Risks associated with using citronella and lavender oil-based products during pregnancy.";"2024-11-28 20:40:13";"2024-11-28 20:40:13"
"201";"Laser Hair Removal and Electrolysis";"Safety of electrolysis and laser hair removal during pregnancy.";"2024-11-28 20:40:46";"2024-11-28 20:40:46"
"202";"Tanning Salons";"Risks of tanning salons during pregnancy.";"2024-11-28 20:41:35";"2024-11-28 20:41:35"
"203";"Physical Activities";"Benefits of physical activity during pregnancy.";"2024-11-28 20:42:45";"2024-11-28 20:42:45"
"204";"Being Active Day to Day";"Incorporating physical activity into daily routine during pregnancy.";"2024-11-28 20:43:29";"2024-11-28 20:43:29"
"205";"Choice of Activities";"Selecting appropriate physical activities during pregnancy.";"2024-11-28 20:44:41";"2024-11-28 20:44:41"
"206";"Precautions for Physical Activity";"Safety guidelines for physical activities during pregnancy.";"2024-11-28 20:45:32";"2024-11-28 20:45:32"
"207";"Discomfort During Physical Activity";"Addressing discomforts during physical activity in pregnancy.";"2024-11-28 20:46:39";"2024-11-28 20:46:39"
"208";"Tobacco and Electronic Cigarettes During Pregnancy";"Risks of smoking and electronic cigarettes during pregnancy.";"2024-11-28 20:47:38";"2024-11-28 20:47:38"
"209";"Smoking Risks During Pregnancy";"Negative effects of smoking on fetal development and pregnancy.";"2024-11-28 20:48:21";"2024-11-28 20:48:21"
"210";"Quitting Smoking During Pregnancy";"Support and benefits of quitting smoking, even later in pregnancy.";"2024-11-28 20:49:11";"2024-11-28 20:49:11"
"211";"Electronic Cigarettes During Pregnancy";"Risks of using e-cigarettes during pregnancy and alternatives for quitting smoking.";"2024-11-28 20:49:55";"2024-11-28 20:49:55"
"212";"Alcohol During Pregnancy";"Risks of alcohol consumption during pregnancy.";"2024-11-28 20:50:47";"2024-11-28 20:50:47"
"213";"Harmful Effects of Alcohol During Pregnancy";"Impact of alcohol consumption on pregnancy and fetal development.";"2024-11-28 20:51:38";"2024-11-28 20:51:38"
"214";"Tips for Avoiding Alcohol During Pregnancy";"Strategies for avoiding alcohol consumption during pregnancy.";"2024-11-28 20:52:39";"2024-11-28 20:52:39"
"215";"Cannabis Use During Pregnancy";"Risks associated with cannabis use during pregnancy.";"2024-11-28 20:53:48";"2024-11-28 20:53:48"
"216";"Drug Use During Pregnancy";"Risks of using drugs during pregnancy and seeking help.";"2024-11-28 20:54:38";"2024-11-28 20:54:38"
"217";"Household Products During Pregnancy";"Safe use of cleaning products during pregnancy.";"2024-11-28 20:55:48";"2024-11-28 20:55:48"
"218";"Paint and Paint Remover During Pregnancy";"Safe use of paints and paint removers during pregnancy.";"2024-11-28 20:56:49";"2024-11-28 20:56:49"
"219";"Cats and Pregnancy";"Precautions for pregnant women with pet cats.";"2024-11-28 20:57:47";"2024-11-28 20:57:47"
"220";"Gardening and Pregnancy";"Precautions for pregnant women gardening.";"2024-11-28 20:58:46";"2024-11-28 20:58:46"
